Name,Connection Strength,Log10
"SNR (Midbrain, Substantia Nigra pars reticulata) right",1.845,0.2659963704950792
"Area 6d1 (PreCG) left",1.81,0.2576785748691845
"Area p32 (pACC) right",1.805,0.2564772062416767
"Ch 123 (Basal Forebrain) right",1.775,0.24919835739111287
"Area 6r1 (PreCG) right",1.75,0.24303804868629444
"Area TeI (STG) left",1.725,0.23678909940929294
"Ch 4 (Basal Forebrain) left",1.71,0.23299611039215382
"Area hIP3 (IPS) left",1.695,0.229169702539101
"TrS (Hippocampus, Transsubiculum) left",1.67,0.22271647114758325
"Area 6d2 (PreCG) left",1.62,0.20951501454263097
"Ch 123 (Basal Forebrain) left",1.62,0.20951501454263097
"BST (Basal Forebrain, Bed Nucleus) left",1.595,0.2027606873931999
"Area TI (STG) left",1.45,0.16136800223497488
"Frontal-I.2 (GapMap) right",1.445,0.15986784709256668
"Area Id10 (Insula) left",1.375,0.13830269816628146
"Ch 4 (Basal Forebrain) right",1.34,0.12710479836480765
"Area Id7 (Insula) right",1.335,0.125481265700594
"Area Ig1 (Insula) left",1.33,0.12385164096708581
"Area PGa (IPL) left",1.325,0.12221587827282664
"Area PFt (IPL) right",1.305,0.11561051167429974
"Area SFS2 (SFS) right",1.305,0.11561051167429974
"Area Te 2.1 (STG) left",1.295,0.11226976841727061
"AV (Thalamus, anteroventral Nucleus) right",1.255,0.09864372581705691
"Area SFS1 (SFS) right",1.25,0.09691001300805642
"Area FG5 (FusG) left",1.22,0.08635983067474821
"Area CoS1 (CoS) left",1.21,0.08278537031645007
"Area 4p (PreCG) right",1.155,0.06258198422816312
"VIM (Thalamus, ventral intermediate Nucleus) left",1.09,0.037426497940623665
"Area 33 (ACC) right",1.085,0.0354297381845483
"Area 6ma (preSMA, mesial SFG) left",1.08,0.03342375548694973
"Frontal-I.2 (GapMap) left",1.07,0.029383777685209667
"Area Fp1 (FPole) left",1.05,0.021189299069938092
"AcbM (Ventral Striatum, Medial Accumbens) right",1.05,0.021189299069938092
"Area IFS1 (IFS) right",1.04,0.01703333929878037
"Area Op8 (Frontal Operculum) right",1.01,0.004321373782642578
"Area 5M (SPL) left",0.97,-0.01322826573375516
"Area 3b (PostCG) left",0.955,-0.019996628416253676
"Area TPJ (STG, SMG) left",0.955,-0.019996628416253676
"Area 3b (PostCG) right",0.945,-0.024568191490737076
"Area MFG1 (MFG) right",0.92,-0.036212172654444715
"Area p32 (pACC) left",0.9,-0.045757490560675115
"Area 1 (PostCG) left",0.885,-0.05305672930217456
"Area Op4 (POperc) right",0.885,-0.05305672930217456
"Area 6ma (preSMA, mesial SFG) right",0.875,-0.057991946977686754
"Area Fo3 (OFC) left",0.865,-0.06298389253518578
"Area hIP1 (IPS) right",0.855,-0.06803388527182737
"Area s24 (sACC) right",0.835,-0.07831352451639793
"Area PF (IPL) left",0.825,-0.08354605145007493
"Frontal-to-Temporal-I (GapMap) left",0.815,-0.08884239126002341
"Area 8d1 (SFG) left",0.78,-0.10790539730951958
"Area 5Ci (SPL) right",0.765,-0.11633856484638239
"PUi (Thalamus, inferior pulvinar) left",0.745,-0.12784372725170717
"Area Ig2 (Insula) left",0.745,-0.12784372725170717
"Area IFS4 (IFS) right",0.725,-0.13966199342900631
"Area 8v2 (MFG) right",0.725,-0.13966199342900631
"Area 6v1 (PreCG) left",0.72,-0.14266750356873156
"Area Op6 (Frontal Operculum) right",0.72,-0.14266750356873156
"Area s32 (sACC) right",0.7,-0.1549019599857432
"Area Op10 (Frontal Operculum) right",0.69,-0.16115090926274472
"Area 7PC (SPL) left",0.685,-0.1643094285075744
"Area Te 1.0 (HESCHL) left",0.67,-0.17392519729917355
"Area Op1 (POperc) right",0.67,-0.17392519729917355
"Area OTS1 (OTS) left",0.66,-0.1804560644581313
"Area 8v1 (MFG) left",0.655,-0.18375870000821692
"CM (Amygdala) left",0.645,-0.19044028536473223
"Area hIP2 (IPS) left",0.63,-0.2006594505464183
"Area Te 1.1 (HESCHL) left",0.63,-0.2006594505464183
"Area PFcm (IPL) left",0.62,-0.20760831050174613
"Area hIP1 (IPS) left",0.615,-0.21112488422458328
"Area EC (Hippocampal Region, Entorhinal Cortex) right",0.595,-0.22548303427145044
"Area Fp2 (FPole) left",0.59,-0.22914798835785583
"IF (Amygdala) left",0.565,-0.2479515521805615
"VP (Ventral Pallidum) left",0.54,-0.26760624017703144
"Area Fo1 (OFC) left",0.52,-0.28399665636520083
"LB (Amygdala) right",0.515,-0.28819277095880896
"Astr (Amygdala) left",0.51,-0.2924298239020636
"Area 6mp (SMA, mesial SFG) left",0.505,-0.2967086218813386
"Area SFG2 (SFG) left",0.49,-0.3098039199714863
"DG (Hippocampus) right",0.49,-0.3098039199714863
"AcbL (Ventral Striatum, Lateral Accumbens) right",0.48,-0.3187587626244128
"Area Id2 (Insula) right",0.475,-0.3233063903751334
"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) left",0.45,-0.3467874862246563
"VPi (Thalamus, ventroposterior inferior Nucleus) left",0.44,-0.3565473235138126
"Area Id4 (Insula) right",0.44,-0.3565473235138126
