Name,Connection Strength,Log10
"Area Op10 (Frontal Operculum) right",4.54,0.6570558528571039
"Area s32 (sACC) right",4.525,0.6556185835412222
"LP (Thalamus, lateral posterior Nucleus) left",4.265,0.6299190355035418
"Area Op8 (Frontal Operculum) right",4.185,0.6216954623292787
"Area 6d3 (SFS) right",4.17,0.6201360549737575
"AcbM (Ventral Striatum, Medial Accumbens) right",4.01,0.6031443726201823
"Area PFm (IPL) left",3.975,0.5993371329924891
"Area Te 1.1 (HESCHL) right",3.935,0.5949447366950834
"Area Te 2.2 (STG) left",3.905,0.5916210382133191
"Area 6d2 (PreCG) right",3.84,0.5843312243675308
"TrS (Hippocampus, Transsubiculum) left",3.405,0.532117116248804
"Area 5M (SPL) right",3.4,0.5314789170422551
"SNR (Midbrain, Substantia Nigra pars reticulata) right",3.365,0.5269850685599957
"AcbL (Ventral Striatum, Lateral Accumbens) right",3.3,0.5185139398778874
"BST (Basal Forebrain, Bed Nucleus) left",3.125,0.494850021680094
"Area p32 (pACC) left",3.11,0.4927603890268375
"Area 6v3 (PreCG) right",3.07,0.48713837547718647
"Area Fp2 (FPole) left",3.03,0.48144262850230496
"Area 6r1 (PreCG) right",2.985,0.4749443354653879
"Area TeI (STG) left",2.915,0.4646385590950329
"Area 8d2 (SFG) right",2.88,0.45939248775923086
"Area hIP3 (IPS) left",2.855,0.45560611258186684
"Area 5L (SPL) left",2.855,0.45560611258186684
"AV (Thalamus, anteroventral Nucleus) right",2.84,0.45331834004703764
"SNC (Midbrain, Substantia Nigra pars compacta) right",2.795,0.4463818122224421
"Ch 4 (Basal Forebrain) left",2.78,0.4440447959180762
"Area 2 (PostCS) right",2.76,0.4409090820652177
"Ch 123 (Basal Forebrain) left",2.755,0.44012160318780386
"Area EC (Hippocampal Region, Entorhinal Cortex) right",2.74,0.437750562820388
"Area Ig1 (Insula) left",2.725,0.43536650661266124
"Area Te 2.1 (STG) left",2.625,0.4191293077419757
"Area p24c (pACC) right",2.585,0.4124605474299613
"Area CoS1 (CoS) left",2.555,0.40739090447073156
"Area PGa (IPL) left",2.475,0.39357520326958756
"Area Id10 (Insula) left",2.405,0.38111508070985056
"Area MFG1 (MFG) right",2.35,0.37106786227173627
"Area TI (STG) left",2.33,0.367355921026019
"Area FG5 (FusG) left",2.29,0.359835482339888
"Area 6d1 (PreCG) right",2.195,0.34143452457814016
"Area Fo1 (OFC) left",2.06,0.31386722036915343
"Area Op4 (POperc) right",2.02,0.3053513694466238
"Area p24ab (pACC) right",2,0.3010299956639812
"Area Fo3 (OFC) left",1.97,0.2944662261615929
"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) left",1.91,0.28103336724772754
"Area 1 (PostCG) right",1.905,0.2798949800116381
"Area PFt (IPL) right",1.815,0.2588766293721313
"DG (Hippocampus) right",1.79,0.2528530309798932
"Frontal-I.2 (GapMap) left",1.785,0.251638220448212
"TuTi (Basal Forebrain, Terminal islands) right",1.785,0.251638220448212
"VIM (Thalamus, ventral intermediate Nucleus) left",1.75,0.24303804868629444
"Area IFS1 (IFS) right",1.735,0.23929947912689256
"Area TPJ (STG, SMG) left",1.64,0.21484384804769785
"LB (Amygdala) right",1.625,0.21085336531489318
"Area Op6 (Frontal Operculum) right",1.485,0.1717264536532312
"PUi (Thalamus, inferior pulvinar) left",1.465,0.16583762469012828
"Area PF (IPL) left",1.46,0.1643528557844371
"Area 6d2 (PreCG) left",1.435,0.15685190107001115
"Area SFG2 (SFG) left",1.42,0.15228834438305647
"Area 6ma (preSMA, mesial SFG) right",1.375,0.13830269816628146
"Area 3b (PostCG) right",1.335,0.125481265700594
"Area 5M (SPL) left",1.33,0.12385164096708581
"Area 6d1 (PreCG) left",1.325,0.12221587827282664
"Area Ig2 (Insula) left",1.28,0.10720996964786837
"Area IFS4 (IFS) right",1.28,0.10720996964786837
"Area Fo2 (OFC) left",1.275,0.10551018476997394
"Area Op7 (Frontal Operculum) right",1.27,0.10380372095595687
"Frontal-to-Temporal-I (GapMap) left",1.265,0.10209052551183669
"Frontal-I.1 (GapMap) left",1.25,0.09691001300805642
"Area Op1 (POperc) right",1.22,0.08635983067474821
"IF (Amygdala) left",1.175,0.07003786660775509
"Area 6ma (preSMA, mesial SFG) left",1.16,0.06445798922691845
"Area 5Ci (SPL) right",1.16,0.06445798922691845
"Area 3b (PostCG) left",1.145,0.05880548667590681
"Area OTS1 (OTS) left",1.125,0.05115252244738129
"LD (Thalamus, lateral dorsal Nucleus) right",1.125,0.05115252244738129
"Area 1 (PostCG) left",1.11,0.045322978786657475
"Area hIP1 (IPS) right",1.105,0.0433622780211295
"CM (Amygdala) left",1.09,0.037426497940623665
"Area 7PC (SPL) left",1.085,0.0354297381845483
"Area 8d1 (SFG) left",1.07,0.029383777685209667
"Area Te 1.0 (HESCHL) left",1.065,0.027349607774756507
"Area Te 1.1 (HESCHL) left",1.055,0.023252459633711444
"Area PFcm (IPL) left",1.055,0.023252459633711444
"Area Op5 (Frontal Operculum) right",1.045,0.01911629044707278
"Area hIP1 (IPS) left",1.04,0.01703333929878037
"Area p24ab (pACC) left",1.025,0.010723865391773066
"VP (Ventral Pallidum) left",1,0
"Area s24 (sACC) left",0.97,-0.01322826573375516
"Area 4p (PreCG) right",0.93,-0.03151705144606486
"Area s32 (sACC) left",0.91,-0.040958607678906384
"Astr (Amygdala) left",0.905,-0.043351420794796675
"Area hIP2 (IPS) left",0.905,-0.043351420794796675
"Area Id4 (Insula) right",0.86,-0.06550154875643228
"Area 3a (PostCG) right",0.76,-0.11918640771920865
"Area SFG3 (SFG) left",0.725,-0.13966199342900631
"Area Fo7 (OFC) left",0.715,-0.1456939581989194
"Area Te 1.2 (HESCHL) left",0.705,-0.15181088300860132
"Area PFop (IPL) right",0.695,-0.15801519540988615
"Area PFt (IPL) left",0.68,-0.16749108729376366
"VA (Thalamus, ventral anterior Nucleus (ventral)) right",0.66,-0.1804560644581313
"VLP (Thalamus, ventral lateral posterior Nucleus) right",0.66,-0.1804560644581313
"Area Op2 (POperc) right",0.66,-0.1804560644581313
"Area 8v1 (MFG) left",0.62,-0.20760831050174613
"VPi (Thalamus, ventroposterior inferior Nucleus) left",0.62,-0.20760831050174613
"Area Op3 (POperc) right",0.62,-0.20760831050174613
"Area 25 (sACC) right",0.605,-0.2182446253475311
"Area p24c (pACC) left",0.595,-0.22548303427145044
"Area 8v2 (MFG) right",0.585,-0.23284413391781958
"AM (Thalamus, anteromedial Nucleus) right",0.57,-0.24412514432750865
"Area 6v1 (PreCG) left",0.555,-0.2557070168773237
"Area 33 (ACC) left",0.53,-0.27572413039921095
"Area IFS2 (IFS) right",0.475,-0.3233063903751334
"Area MFG4 (MFG) left",0.46,-0.3372421683184259
"Area hIP2 (IPS) right",0.455,-0.34198860334288755
"VLP (Thalamus, ventral lateral posterior Nucleus) left",0.44,-0.3565473235138126
"Area IFJ1 (IFS, PreCS) right",0.435,-0.3615107430453627
"Area Ia1 (Insula) left",0.43,-0.36653154442041347
"Area 4a (PreCG) left",0.395,-0.40340290437353976
"Area 2 (PostCS) left",0.385,-0.4145392704914993
"Area 6d3 (SFS) left",0.38,-0.42021640338318983
"Area Id2 (Insula) right",0.375,-0.42596873227228116
"AcbM (Ventral Striatum, Medial Accumbens) left",0.37,-0.431798275933005
"Area Ia2 (Insula) left",0.37,-0.431798275933005
"Area IFS3 (IFS) right",0.37,-0.431798275933005
